Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Pace,Best Pace,Training Stress Score®,Total Strokes,Avg. Swolf,Avg Stroke Rate,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time
Open Water Swimming,2025-06-27 07:17:20,false,"Florianópolis Open Water Swimming","2,494","379","00:49:25","128","163","2.7","1:59","1:07","0.0","1138","41","23","-7","18.0","No","00:09:15.1","5","21.0","00:47:59","00:49:25"
Pool Swim,2025-06-26 08:30:39,false,"Pool Swim","2,625","647","00:45:57","134","152","2.6","1:45","1:13","0.0","1070","36","23","--","--","No","00:00:02.5","2","--","00:45:54","00:46:07"
Pool Swim,2025-06-25 19:57:11,false,"Pool Swim","1,775","379","00:33:12","132","164","2.6","1:51","0:55","0.0","795","39","24","--","--","No","00:33:12","1","--","00:32:54","00:34:29"
Pool Swim,2025-06-18 19:44:15,false,"Pool Swim","2,375","630","00:45:44","160","174","3.9","1:44","1:26","0.0","1020","37","25","--","--","No","00:45:44","1","--","00:41:17","00:45:53"
Open Water Swimming,2025-06-18 07:21:21,false,"Florianópolis Open Water Swimming","1,682","419","00:42:56","136","167","2.7","2:33","1:07","0.0","887","51","21","-9","20.0","No","00:05:12.4","4","25.0","00:35:48","00:42:56"
Pool Swim,2025-06-16 19:21:02,false,"Pool Swim","2,550","579","00:47:06","150","175","3.7","1:44","0:57","0.0","1096","37","25","--","--","No","00:47:06","1","--","00:44:12","00:47:17"
Open Water Swimming,2025-06-13 07:21:39,false,"Florianópolis Open Water Swimming","1,963","297","00:40:03","123","150","2.1","2:02","0:46","0.0","773","40","19","-7","19.0","No","00:09:22.8","4","25.0","00:38:47","00:40:03"
Open Water Swimming,2025-06-11 07:16:26,false,"Florianópolis Open Water Swimming","2,118","414","00:50:01","124","168","2.7","2:22","1:07","0.0","1076","48","21","-9","20.0","No","00:02:55.4","5","24.0","00:44:03","00:50:01"
Pool Swim,2025-06-09 19:29:38,false,"Pool Swim","3,450","546","01:00:32","127","157","2.4","1:45","1:28","0.0","1511","37","25","--","--","No","01:00:32","1","--","01:00:32","01:00:41"
Open Water Swimming,2025-06-09 07:12:48,false,"Florianópolis Open Water Swimming","1,730","292","00:50:48","110","156","1.2","2:56","1:07","0.0","1071","60","21","-7","20.0","No","00:05:27.6","4","22.0","00:43:12","00:50:48"
Pool Swim,2025-06-05 08:33:35,false,"Pool Swim","2,375","610","00:43:08","155","171","3.9","1:48","1:03","0.0","1019","38","24","--","--","No","00:43:08","1","--","00:42:48","00:43:13"
Pool Swim,2025-06-04 19:41:08,false,"Pool Swim","2,725","626","00:48:55","157","172","4.0","1:46","1:03","0.0","1149","37","24","--","--","No","00:48:55","1","--","00:47:59","00:49:07"
Open Water Swimming,2025-06-04 07:16:22,false,"Florianópolis Open Water Swimming","2,008","336","00:46:48","122","149","2.2","2:20","1:00","0.0","1089","49","23","-8","21.0","No","00:00:11.2","5","21.0","00:43:31","00:46:48"
Pool Swim,2025-05-30 19:36:26,false,"Pool Swim","3,075","687","00:55:32","151","177","4.3","1:48","0:48","0.0","1381","38","25","--","--","No","00:55:32","1","--","00:55:32","00:55:45"
Pool Swim,2025-05-28 19:47:57,false,"Pool Swim","2,650","641","00:45:29","155","168","4.4","1:43","0:53","0.0","1158","37","25","--","--","No","00:45:29","1","--","00:45:29","00:45:36"
Open Water Swimming,2025-05-28 07:20:24,false,"Florianópolis Open Water Swimming","1,634","278","00:45:45","111","147","2.1","2:48","1:07","0.0","412","48","8","-7","22.0","No","00:04:39.9","4","23.0","00:37:00","00:45:45"
Pool Swim,2025-05-26 19:51:54,false,"Pool Swim","2,325","465","00:41:18","129","151","2.7","1:47","0:54","0.0","999","37","24","--","--","No","00:41:18","1","--","00:41:18","00:41:29"
Open Water Swimming,2025-05-26 07:17:58,false,"Florianópolis Open Water Swimming","1,968","476","00:48:42","142","178","3.7","2:29","1:07","0.0","871","48","17","-12","21.0","No","00:11:06","4","25.0","00:44:32","00:48:42"
Pool Swim,2025-05-23 19:42:44,false,"Pool Swim","1,500","420","00:41:25","143","194","4.4","1:38","1:05","0.0","615","35","25","--","--","No","00:41:25","1","--","00:24:37","00:41:57"
Open Water Swimming,2025-05-23 07:14:09,false,"Florianópolis Open Water Swimming","2,129","466","00:56:12","126","171","3.3","2:38","1:07","0.0","997","51","17","-14","21.0","No","00:04:45.0","5","24.0","00:47:41","00:56:12"
Open Water Swimming,2025-05-21 07:16:56,false,"Florianópolis Open Water Swimming","1,915","359","00:49:43","119","150","2.5","2:36","1:07","0.0","928","51","19","-11","21.0","No","00:10:50","4","25.0","00:43:01","00:49:43"
Open Water Swimming,2025-05-19 07:15:03,false,"Florianópolis Open Water Swimming","1,509","397","00:44:04","129","168","3.3","2:55","1:07","0.0","659","55","15","-13","22.0","No","00:00:02.0","6","27.0","00:35:57","00:44:04"
Open Water Swimming,2025-05-14 07:17:44,false,"Florianópolis Open Water Swimming","2,228","544","00:51:32","143","181","--","2:19","1:07","0.0","683","42","13","-17","22.0","No","00:05:26.6","5","28.0","00:47:17","00:51:32"
Open Water Swimming,2025-03-31 06:55:00,false,"Salvador Open Water Swimming","1,417","433","01:02:38","118","200","2.5","4:25","1:07","0.0","561","76","9","-10","28.0","No","00:14:42","3","31.0","00:33:32","01:02:38"
